Sensor_ID,Tagnames
[1:0],INT_PROC_40_DB.InterruptTimeStamp[9]
[1:1],INT_PROC_40_DB.InterruptTimeStamp[10]
[1:2],INT_PROC_40_DB.InterruptTimeStamp[11]
[1:3],INT_PROC_40_DB.InterruptTimeStamp[12]
[1:4],L1_DCVR_WORK_DB.DriveIn.SpeedFeedback
[1:5],L1_DCVR_WORK_DB.DriveIn.TorqueFeedback
[1:6],L1_DCVR_WORK_DB.DriveOut.SpeedRef
[1:7],OPT_Avg_PH0C_Measures Counter
[1:8],OPT_Avg_PH0C_Measures Counter
[1:9],OPT_Avg_PH0A_Measures Counter
[1:10],OPT_Avg_PH0B_Measures Counter
[1:11],E35_DCVAH_TheorPos
[1:12],L1_DCVAH Act Position
[1:13],L1_PR5 Act Speed
[1:14],L1_PR5 Set Speed
[1:15],L1_PR5 Act Torque
[1:16],L1_PR5 Set Torque
[1:17],L1_PR1_ActSpeed
[1:18],L1_PR1_SetSpeed
[1:19],L1_PR1_ActTorque
[1:20],L1_PR1_SetTorque
[1:21],L1_CVR KNIVES POSITION
[1:22],L1_PR2_ActSpeed
[1:23],L1_PR2_SetSpeed
[1:24],L1_PR2_ActTorque
[1:25],L1_PR3_ActSpeed
[1:26],L1_PR3_SetSpeed
[1:27],L1_PR3_ActTorque
[1:28],ACT-DATA1_DB.WB12_WR_FLR_VLV
[1:29],ACT-DATA1_DB.WB34_WR_FLR_VLV
[1:30],L1 bar temperature
[1:31],L1_PR4_ActSpeed
[1:32],L1_PR4_SetSpeed
[1:33],L1_PR4_ActTorque
[1:34],L1_DCVRD Act Position
[1:35],L1_DCVR Set Position for PID
[1:36],L1_DCVR Act Position
[1:37],L1_DCVR Theor speed
[1:38],L1_DCVR PID OUTPUT
[1:39],L1_CVR_Calibr Speed Factor Measured
[1:40],Speed from SpeedMeter L1
[1:41],SpeedMeter Bar motion L1
[1:42],SpeedMeter measured calib.f.  K L1
[1:43],L1_WB12_ANALOG_IN_DB.InPressureFilt
[1:44],L1_WB12_ANALOG_IN_DB.OutPressureFilt
[1:45],L1_WB34_ANALOG_IN_DB.InPressureFilt
[1:46],L1_WB34_ANALOG_IN_DB.OutPressureFilt
[1:47],Calibr speed for DCVAH L1
[1:48],Speed calibr factor L1
[1:49],L1 SYNCHRONIZE PC ERROR POSITION DURING CYCLE
[1:50],Speed calibr factor with HMD L1
[1:51],L1_WB12 Actual Flow Rate
[1:52],L1_WB34 Actual Flow Rate
[1:53],L1_PR2 head tracking close
[1:54],L1_PR3 head tracking close
[1:55],L1_PR2 machine distance from tracking zero point
[1:56],L1_PR3 machine distance from tracking zero point
[1:59],E35_CVAH_Actual torque
[1:60],L1_PR2 Roll Closing Pressure
[1:61],L1_PR3 Roll Closing Pressure
[1:62],L1_PR4 Roll Closing Pressure
[1:63],L1_PR5 Roll Closing Pressure
[1:64],L1_WB12_Pressure Set
[1:65],L1_WB34_Pressure Set
[1:66],L1_WB12_VLV_POS
[1:67],L1_WB34_VLV_POS
[1:68],E35_CVAH_ActualRotorPosition
[1:69],L1_PR2 ACTUAL CURRENT
[1:70],L1_PR3 ACTUAL CURRENT
[1:71],L1_PR1 ACTUAL CURRENT
[1:72],L1_CVAH ACTUAL CURRENT
[1:73],E35_DCVAH_Actual torque
[1:74],L1_CVR Speed feedback from drive
[1:75],L1_CVR torque feedback from drive
[1:76],L1_CVR output current feedback from drive
[1:77],L1_CVR Speed reference to drive
[1:78],L1_DCVR Speed feedback from drive
[1:79],L1_DCVR torque feedback from drive
[1:80],L1_DCVR output current feedback from drive
[1:81],L1_DCVR Speed reference to drive
[1.0],L1_CVR_WORK_DB.Automatic
